CONTRACTION;;;;
Machine ID;Latte 2001;;;
Time stamp;2018-10-11 14:38:43;;;
Start temperature [°C];26.596;;;
End temperature [°C];9.413;;;
Average cooling [°C/min];0.429575;;;
Start pressure [Pa];104803;;;
End pressure [Pa];96964;;;
Delta pressure [Pa];7839;;;
Max contraction [%];3.6;;;
Max contraction time [s];2348;;;
Crystalline start time [s];48;;;
Crystalline start temperature [°C];26.61;;;
Crystalline end time [s];2396;;;
Crystalline end temperature [°C];9.446;;;
No.samples;600;;;
RECIPE;;;;
Recipe name;Standard Contraction;;;
Chocolate temperature;28;;;
Offset;0;;;
Cooling temperature;40;;;
Test time;2400;;;
DATA;;;;
Time [s];Probe [°C];Pressure [Pa];Contraction [%];
728;22.666;102905;0.967426;
732;22.635;102887;0.98082;
736;22.604;102872;0.988649;
740;22.575;102852;1.00706;
744;22.546;102835;1.0199;
748;22.516;102822;1.02467;
752;22.487;102804;1.03938;
756;22.456;102785;1.05466;
760;22.425;102769;1.06436;
764;22.396;102749;1.0828;
768;22.364;102734;1.09001;
772;22.335;102714;1.10847;
776;22.305;102698;1.11883;
780;22.274;102679;1.13414;
784;22.243;102666;1.13829;
788;22.213;102647;1.15425;
792;22.182;102628;1.16958;
796;22.15;102612;1.17867;
800;22.121;102597;1.18784;
804;22.089;102584;1.19135;
808;22.059;102568;1.20174;
812;22.027;102546;1.22203;
816;21.996;102535;1.22246;
820;21.966;102514;1.2422;
824;21.935;102498;1.25196;
828;21.905;102479;1.26797;
832;21.875;102461;1.28212;
836;21.845;102449;1.28507;
840;21.816;102433;1.29615;
844;21.788;102416;1.30974;
848;21.76;102395;1.33081;
852;21.731;102381;1.33816;
856;21.701;102365;1.34859;
860;21.672;102347;1.36342;
864;21.644;102326;1.38452;
868;21.614;102314;1.38749;
872;21.586;102296;1.40298;
876;21.556;102280;1.41344;
880;21.527;102263;1.42642;
884;21.498;102244;1.44315;
888;21.469;102234;1.44303;
892;21.438;102216;1.4566;
896;21.409;102196;1.47522;
900;21.379;102185;1.47633;
904;21.347;102168;1.48738;
908;21.317;102146;1.50911;
912;21.287;102132;1.51585;
916;21.255;102118;1.52129;
920;21.226;102101;1.53431;
924;21.196;102088;1.53918;
928;21.163;102074;1.54398;
932;21.133;102057;1.55636;
936;21.101;102036;1.57495;
940;21.071;102020;1.58546;
944;21.038;102005;1.59214;
948;21.007;101994;1.59261;
952;20.974;101979;1.5993;
956;20.944;101956;1.62297;
960;20.912;101944;1.62468;
964;20.881;101929;1.63267;
968;20.846;101914;1.63806;
972;20.815;101904;1.63666;
976;20.784;101885;1.65219;
980;20.751;101861;1.67582;
984;20.72;101849;1.67819;
988;20.688;101831;1.69119;
992;20.656;101813;1.7042;
996;20.623;101800;1.70715;
1000;20.592;101787;1.7114;
1004;20.559;101767;1.72754;
1008;20.526;101752;1.73426;
1012;20.496;101735;1.74671;
1016;20.461;101723;1.74647;
1020;20.429;101708;1.75385;
1024;20.397;101695;1.75746;
1028;20.366;101673;1.7787;
1032;20.333;101660;1.78166;
1036;20.301;101643;1.79282;
1040;20.268;101630;1.79579;
1044;20.237;101607;1.81893;
1048;20.205;101594;1.82255;
1052;20.171;101579;1.82865;
1056;20.14;101563;1.83859;
1060;20.107;101548;1.84534;
1064;20.074;101533;1.85209;
1068;20.042;101515;1.86517;
1072;20.01;101505;1.86313;
1076;19.978;101498;1.85542;
1080;19.946;101482;1.86472;
1084;19.914;101467;1.87213;
1088;19.881;101448;1.88646;
1092;19.849;101434;1.89199;
1096;19.816;101418;1.90064;
1100;19.784;101404;1.90618;
1104;19.751;101391;1.90916;
1108;19.719;101376;1.91659;
1112;19.685;101360;1.9246;
1116;19.652;101346;1.92948;
1120;19.62;101330;1.93881;
1124;19.588;101310;1.95572;
1128;19.556;101297;1.95937;
1132;19.523;101284;1.96236;
1136;19.49;101269;1.96915;
1140;19.457;101255;1.97404;
1144;19.426;101240;1.98214;
1148;19.394;101222;1.99528;
1152;19.361;101208;2.00018;
1156;19.328;101188;2.01647;
1160;19.296;101175;2.02013;
1164;19.264;101160;2.02759;
1168;19.23;101146;2.03184;
1172;19.199;101126;2.04945;
1176;19.167;101115;2.04932;
1180;19.133;101098;2.05927;
1184;19.1;101085;2.06229;
1188;19.068;101067;2.07546;
1192;19.034;101050;2.08542;
1196;19.003;101037;2.08976;
1200;18.971;101020;2.10104;
1204;18.939;101004;2.11042;
1208;18.907;100993;2.1103;
1212;18.874;100978;2.11713;
1216;18.84;100961;2.1271;
1220;18.81;100945;2.13782;
1224;18.776;100934;2.13638;
1228;18.744;100912;2.1572;
1232;18.713;100898;2.16345;
1236;18.68;100890;2.15696;
1240;18.647;100874;2.16571;
1244;18.615;100856;2.17893;
1248;18.584;100841;2.18709;
1252;18.55;100830;2.18566;
1256;18.518;100813;2.19698;
1260;18.488;100797;2.20772;
1264;18.456;100783;2.21333;
1268;18.423;100764;2.22782;
1272;18.391;100751;2.23152;
1276;18.363;100737;2.23977;
1280;18.329;100725;2.24025;
1284;18.298;100706;2.25607;
1288;18.266;100692;2.26169;
1292;18.234;100674;2.27495;
1296;18.201;100661;2.27801;
1300;18.17;100647;2.28429;
1304;18.138;100632;2.29183;
1308;18.108;100617;2.30069;
1312;18.078;100605;2.30382;
1316;18.045;100587;2.31644;
1320;18.014;100574;2.32082;
1324;17.982;100561;2.32454;
1328;17.951;100547;2.33084;
1332;17.919;100534;2.33457;
1336;17.889;100522;2.3377;
1340;17.86;100506;2.34915;
1344;17.828;100490;2.35863;
1348;17.797;100472;2.37259;
1352;17.766;100459;2.37699;
1356;17.734;100444;2.38455;
1360;17.703;100430;2.39087;
1364;17.673;100418;2.39401;
1368;17.642;100408;2.39266;
1372;17.612;100393;2.40156;
1376;17.579;100385;2.39505;
1380;17.548;100370;2.40329;
1384;17.517;100357;2.40769;
1388;17.488;100341;2.41917;
1392;17.457;100329;2.42166;
1396;17.426;100318;2.42223;
1400;17.395;100300;2.43623;
1404;17.364;100291;2.43297;
1408;17.333;100277;2.4393;
1412;17.304;100265;2.44312;
1416;17.273;100248;2.45521;
1420;17.242;100235;2.45963;
1424;17.21;100223;2.46146;
1428;17.181;100210;2.4672;
1432;17.149;100196;2.47288;
1436;17.118;100183;2.4773;
1440;17.087;100165;2.49133;
1444;17.058;100156;2.48939;
1448;17.025;100143;2.49249;
1452;16.996;100128;2.50209;
1456;16.965;100106;2.52382;
1460;16.933;100101;2.5122;
1464;16.903;100087;2.51922;
1468;16.874;100068;2.53652;
1472;16.843;100056;2.53903;
1476;16.811;100044;2.54088;
1480;16.782;100028;2.55242;
1484;16.751;100016;2.55493;
1488;16.719;100000;2.56448;
1492;16.688;99993;2.55737;
1496;16.658;99979;2.5644;
1500;16.629;99961;2.5798;
1504;16.596;99946;2.58677;
1508;16.566;99938;2.58225;
1512;16.536;99924;2.58928;
1516;16.505;99911;2.59373;
1520;16.475;99899;2.59692;
1524;16.444;99886;2.60137;
1528;16.412;99873;2.60515;
1532;16.382;99858;2.61413;
1536;16.35;99846;2.61599;
1540;16.321;99839;2.6102;
1544;16.29;99822;2.62237;
1548;16.258;99807;2.63002;
1552;16.23;99792;2.64034;
1556;16.199;99782;2.639;
1560;16.167;99770;2.64087;
1564;16.138;99755;2.65052;
1568;16.107;99741;2.65692;
1572;16.075;99729;2.65878;
1576;16.045;99717;2.66198;
1580;16.015;99699;2.67678;
1584;15.984;99688;2.67738;
1588;15.954;99675;2.68252;
1592;15.924;99661;2.68959;
1596;15.892;99652;2.68566;
1600;15.862;99635;2.69853;
1604;15.832;99620;2.70754;
1608;15.801;99612;2.70235;
1612;15.769;99595;2.7139;
1616;15.739;99580;2.72291;
1620;15.71;99570;2.72292;
1624;15.678;99552;2.73641;
1628;15.647;99546;2.72734;
1632;15.617;99537;2.72475;
1636;15.587;99519;2.73958;
1640;15.555;99506;2.7434;
1644;15.525;99490;2.75436;
1648;15.495;99479;2.75564;
1652;15.464;99466;2.76013;
1656;15.432;99458;2.75427;
1660;15.402;99444;2.76136;
1664;15.371;99428;2.77167;
1668;15.341;99416;2.77489;
1672;15.31;99401;2.78327;
1676;15.278;99391;2.78127;
1680;15.248;99375;2.79226;
1684;15.217;99360;2.80064;
1688;15.185;99351;2.79671;
1692;15.154;99336;2.80509;
1696;15.123;99325;2.80571;
1700;15.093;99313;2.80894;
1704;15.064;99305;2.80507;
1708;15.032;99291;2.81085;
1712;15;99283;2.80497;
1716;14.968;99269;2.81075;
1720;14.939;99254;2.82048;
1724;14.908;99240;2.82693;
1728;14.878;99225;2.836;
1732;14.847;99212;2.84051;
1736;14.816;99204;2.8353;
1740;14.784;99189;2.84303;
1744;14.753;99175;2.84949;
1748;14.722;99163;2.85206;
1752;14.692;99148;2.86114;
1756;14.66;99134;2.86693;
1760;14.629;99120;2.8734;
1764;14.599;99105;2.88248;
1768;14.567;99096;2.87855;
1772;14.537;99082;2.88569;
1776;14.507;99069;2.89088;
1780;14.476;99053;2.90125;
1784;14.445;99044;2.89799;
1788;14.412;99027;2.90896;
1792;14.384;99019;2.90576;
1796;14.352;99004;2.91352;
1800;14.322;98996;2.90898;
1804;14.29;98982;2.91479;
1808;14.259;98969;2.91932;
1812;14.227;98954;2.92708;
1816;14.197;98942;2.93034;
1820;14.167;98929;2.93555;
1824;14.135;98915;2.94136;
1828;14.103;98905;2.93938;
1832;14.074;98890;2.94916;
1836;14.044;98875;2.95828;
1840;14.01;98865;2.95495;
1844;13.98;98845;2.97383;
1848;13.949;98832;2.97838;
1852;13.919;98825;2.97188;
1856;13.887;98810;2.97966;
1860;13.857;98798;2.98293;
1864;13.826;98785;2.98748;
1868;13.793;98772;2.99069;
1872;13.763;98758;2.99787;
1876;13.732;98746;3.00047;
1880;13.701;98731;3.00893;
1884;13.67;98723;3.00371;
1888;13.639;98713;3.0024;
1892;13.606;98696;3.01343;
1896;13.576;98681;3.02258;
1900;13.544;98662;3.0382;
1904;13.513;98651;3.03885;
1908;13.482;98642;3.03559;
1912;13.45;98630;3.03752;
1916;13.42;98613;3.05059;
1920;13.388;98607;3.04078;
1924;13.356;98594;3.04467;
1928;13.325;98580;3.0512;
1932;13.295;98562;3.06624;
1936;13.262;98548;3.07142;
1940;13.231;98538;3.07011;
1944;13.2;98524;3.07665;
1948;13.168;98511;3.08055;
1952;13.136;98497;3.08641;
1956;13.106;98487;3.08578;
1960;13.073;98474;3.08901;
1964;13.043;98456;3.10407;
1968;13.01;98444;3.10534;
1972;12.979;98431;3.10992;
1976;12.946;98416;3.11708;
1980;12.915;98402;3.12363;
1984;12.883;98391;3.12361;
1988;12.852;98373;3.13802;
1992;12.821;98365;3.13279;
1996;12.788;98351;3.13799;
2000;12.757;98337;3.14455;
2004;12.724;98321;3.15368;
2008;12.693;98307;3.16024;
2012;12.661;98293;3.16613;
2016;12.63;98283;3.16483;
2020;12.599;98273;3.16353;
2024;12.566;98262;3.16284;
2028;12.534;98246;3.17267;
2032;12.502;98232;3.17856;
2036;12.469;98219;3.18181;
2040;12.438;98205;3.18838;
2044;12.405;98196;3.18376;
2048;12.373;98183;3.18769;
2052;12.34;98173;3.18504;
2056;12.31;98159;3.19229;
2060;12.277;98142;3.20341;
2064;12.246;98128;3.20999;
2068;12.212;98114;3.21454;
2072;12.18;98104;3.21257;
2076;12.149;98095;3.2093;
2080;12.115;98075;3.22567;
2084;12.083;98060;3.23355;
2088;12.05;98046;3.23879;
2092;12.018;98033;3.24273;
2096;11.986;98021;3.2447;
2100;11.95;98011;3.24001;
2104;11.919;97992;3.25647;
2108;11.887;97981;3.25647;
2112;11.855;97968;3.26041;
2116;11.823;97953;3.26831;
2120;11.789;97941;3.26893;
2124;11.757;97928;3.27288;
2128;11.724;97912;3.28207;
2132;11.693;97901;3.28275;
2136;11.661;97884;3.2946;
2140;11.627;97872;3.29523;
2144;11.595;97859;3.29918;
2148;11.56;97846;3.3011;
2152;11.529;97830;3.31167;
2156;11.497;97821;3.30772;
2160;11.464;97807;3.31298;
2164;11.432;97791;3.32287;
2168;11.398;97781;3.31954;
2172;11.364;97769;3.32017;
2176;11.332;97754;3.32809;
2180;11.3;97740;3.33403;
2184;11.267;97725;3.34127;
2188;11.232;97711;3.34518;
2192;11.201;97697;3.35181;
2196;11.167;97685;3.35244;
2200;11.134;97673;3.35375;
2204;11.102;97655;3.36762;
2208;11.068;97642;3.37023;
2212;11.035;97630;3.37155;
2216;11;97612;3.38339;
2220;10.968;97602;3.38142;
2224;10.935;97583;3.39661;
2228;10.899;97570;3.39787;
2232;10.866;97558;3.39919;
2236;10.833;97548;3.39654;
2240;10.8;97528;3.41372;
2244;10.764;97513;3.41895;
2248;10.731;97496;3.43019;
2252;10.696;97483;3.43213;
2256;10.663;97470;3.43544;
2260;10.628;97457;3.43739;
2264;10.592;97445;3.43667;
2268;10.559;97427;3.44991;
2272;10.523;97416;3.4472;
2276;10.489;97399;3.45778;
2280;10.455;97385;3.46239;
2284;10.421;97373;3.46304;
2288;10.385;97355;3.47425;
2292;10.351;97337;3.48682;
2296;10.316;97325;3.48679;
2300;10.283;97311;3.4921;
2304;10.246;97295;3.49865;
2308;10.213;97283;3.49999;
2312;10.177;97267;3.50723;
2316;10.141;97256;3.50453;
2320;10.107;97243;3.50717;
2324;10.072;97225;3.51908;
2328;10.036;97213;3.51837;
2332;10.003;97197;3.52767;
2336;9.966;97177;3.54221;
2340;9.931;97169;3.53422;
2344;9.897;97153;3.54284;
2348;9.862;97136;3.55278;
2352;9.829;97126;3.55014;
2356;9.794;97116;3.54613;
2360;9.757;97105;3.54274;
2364;9.724;97092;3.54608;
2368;9.689;97078;3.55004;
2372;9.654;97063;3.55599;
2376;9.62;97049;3.56064;
2380;9.585;97037;3.56062;
2384;9.552;97023;3.56596;
2388;9.516;97008;3.57123;
2392;9.481;96990;3.58319;
2396;9.446;96977;3.58516;
2400;9.413;96964;3.58851;
